@relation Glass-weka.filters.unsupervised.attribute.Remove-R3-9

@attribute RI numeric
@attribute Na numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
1.51793,12.79,'build wind float'
1.51643,12.16,'vehic wind float'
1.51793,13.21,'build wind float'
1.51299,14.4,tableware
1.53393,12.3,'build wind non-float'
1.51655,12.75,'build wind non-float'
1.51779,13.64,'vehic wind float'
1.51837,13.14,'build wind float'
1.51545,14.14,headlamps
1.51789,13.19,'build wind non-float'
1.51625,13.36,'build wind non-float'
1.51743,12.2,'build wind non-float'
1.52223,13.21,'build wind float'
1.52121,14.03,'vehic wind float'
1.51665,13.14,'vehic wind float'
1.51707,13.48,'build wind non-float'
1.51719,14.75,headlamps
1.51629,12.71,'build wind non-float'
1.51994,13.27,containers
1.51811,12.96,'build wind non-float'
1.52152,13.05,'build wind float'
1.52475,11.45,'build wind non-float'
1.51841,12.93,'build wind non-float'
1.51754,13.39,'build wind float'
1.52058,12.85,containers
1.51569,13.24,'build wind non-float'
1.5159,12.82,'build wind non-float'
1.51683,14.56,headlamps
1.51687,13.23,'build wind non-float'
1.5161,13.33,'vehic wind float'
1.51674,12.87,'build wind non-float'
1.51832,13.33,'vehic wind float'
1.51115,17.38,tableware
1.51645,13.44,'build wind non-float'
1.51755,13,'build wind float'
1.51571,12.72,'build wind float'
1.51596,12.79,'build wind float'
1.5173,12.35,'build wind non-float'
1.51662,12.85,'build wind non-float'
1.51409,14.25,'build wind non-float'
1.51797,12.74,'build wind float'
1.51806,13,'build wind non-float'
1.51627,13,'build wind non-float'
1.5159,13.24,'build wind non-float'
1.51934,13.64,'vehic wind float'
1.51755,12.71,'build wind float'
1.51514,14.01,containers
1.51766,13.21,'build wind float'
1.51784,13.08,'build wind float'
1.52177,13.2,'build wind non-float'
1.51753,12.57,'build wind float'
1.51851,13.2,'build wind non-float'
1.51743,13.3,'build wind float'
1.51593,13.09,'build wind non-float'
1.5164,14.37,headlamps
1.51735,13.02,'build wind float'
1.52247,14.86,headlamps
1.52099,13.69,'build wind float'
