Nom,Code,tps00001 (2013),tec00115 (2013),teilm (F dec 2013),teilm (M dec 2013),tec00118 (2013),teimf00118 (dec 2013),tsdsc260(2013),tet00002 (2013),tsc00001 (2011),tsc00004 (2012)
Autriche,AT,8451860,0.3,5.3,4.9,2.1,2.17,4.1,-5683,2.84,38637
Belgique,BE,11161642,0.2,8.1,8.8,1.2,2.43,3.9,14145,2.24,44052
Bulgarie,BG,7284552,0.9,11.8,13.7,0.4,3.43,6.6,-3610,0.64,11295
Suisse,CH,8039060,1.9,4.6,4.1,0.1,0.9,4.4,18780,2.87,25142
Chypre,CY,865878,-5.4,15.5,17.5,0.4,6,4.9,-3229,0.46,895
République tchèque,CZ,10516125,-0.9,8,5.6,1.4,2.2,3.4,13567,1.88,33169
Allemagne,DE,80523746,0.4,4.9,5.5,1.6,1.8,4.6,198613,2.98,348416
Danemark,DK,5602628,0.4,7.6,6.6,0.5,1.89,4.3,10121,2.98,37675
Zone euro,EA17,331090429,-0.4,12,11.7,1.4,2.97,5,157984,2.17,1149960
Estonie,EE,1320174,2.2,7.9,8.7,3.2,0,5.5,-1401,2.18,4570
Grèce,EL,11062508,-3.9,30.9,24.5,-0.9,8.66,6.6,-19235,0.69,24122
Espagne,ES,46727890,-1.2,26.3,24.9,1.5,4.13,6.3,-17741,1.3,126778
Union européenne,EU28,505674965,0.1,10.7,10.5,1.5,3.03,5,54632,2.07,1661499
Finlande,FI,5426674,-1.4,7.8,8.9,2.2,2.03,3.6,-2244,3.55,40468
France,FR,65578819,0.2,10.1,10.3,1,2.33,4.5,-76308,2.29,249086
Croatie,HR,4262140,-0.9,17.5,16.8,2.3,5.1,5.4,-6839,0.75,6688
Hongrie,HU,9908798,1.1,9.1,8.5,1.7,5.78,4.2,6015,1.3,23837
Irlande,IE,4591087,-0.3,10.2,13.5,0.5,3.48,4.7,36762,1.72,15880
Italie,IT,59685227,-1.9,13.5,11.7,1.3,4.11,5.7,30381,1.27,110823
Japon,JP,127150000,1.5,3.5,3.9,0.36,0.7,9.9,-88380,3.25,656032
Lituanie,LT,2971905,3.3,10.2,12.4,1.2,3.69,6.1,-1953,0.9,8023
Luxembourg,LU,537039,2.1,6,6.1,1.7,2.1,4.1,-6207,1.46,3272
Lettonie,LV,2023825,4.1,10.7,12.3,0,3.62,6.3,-2517,0.66,3904
Malte,MT,421364,2.9,6,6.6,1,3.19,4.1,-1757,0.84,793
Pays-Bas,NL,16779575,-0.8,6.6,7.4,2.6,2.16,3.6,61745,2.16,58599
Pologne,PL,38533299,1.6,10.6,9.4,0.8,4.42,4.9,-2304,0.9,67001
Portugal,PT,10487289,-1.4,15.6,14.8,0.4,6.04,6,-9256,1.5,50694
Roumanie,RO,20020074,3.5,6.2,7.7,3.2,5.29,6.6,-5707,0.49,18016
Suède,SE,9555893,1.6,7.8,8.1,0.4,2.39,3.7,5910,3.41,49280
Slovénie,SI,2058821,-1.1,10.6,9.3,1.9,5.27,3.6,483,2.8,9093
Slovaquie,SK,5410836,0.9,13.9,14.1,1.5,2.69,3.6,3078,0.82,15271
Royaume-Uni,UK,63905297,1.7,6.7,7.3,2.6,2.5,4.6,-84676,1.72,252652
États-Unis,US,315000000,2.2,6.5,6.8,1.5,3.6,12.8,-516520,2.67,1412639
